filename,label
C:/datasets/flower/flower/jpg\image_00001.jpg,77
C:/datasets/flower/flower/jpg\image_00002.jpg,77
C:/datasets/flower/flower/jpg\image_00003.jpg,77
C:/datasets/flower/flower/jpg\image_00004.jpg,77
C:/datasets/flower/flower/jpg\image_00005.jpg,77
C:/datasets/flower/flower/jpg\image_00006.jpg,77
C:/datasets/flower/flower/jpg\image_00007.jpg,77
C:/datasets/flower/flower/jpg\image_00008.jpg,77
C:/datasets/flower/flower/jpg\image_00009.jpg,77
C:/datasets/flower/flower/jpg\image_00010.jpg,77
C:/datasets/flower/flower/jpg\image_00011.jpg,77
C:/datasets/flower/flower/jpg\image_00012.jpg,77
C:/datasets/flower/flower/jpg\image_00013.jpg,77
C:/datasets/flower/flower/jpg\image_00014.jpg,77
C:/datasets/flower/flower/jpg\image_00015.jpg,77
C:/datasets/flower/flower/jpg\image_00016.jpg,77
C:/datasets/flower/flower/jpg\image_00017.jpg,77
C:/datasets/flower/flower/jpg\image_00018.jpg,77
C:/datasets/flower/flower/jpg\image_00019.jpg,77
C:/datasets/flower/flower/jpg\image_00020.jpg,77
C:/datasets/flower/flower/jpg\image_00021.jpg,77
C:/datasets/flower/flower/jpg\image_00022.jpg,77
C:/datasets/flower/flower/jpg\image_00023.jpg,77
C:/datasets/flower/flower/jpg\image_00024.jpg,77
C:/datasets/flower/flower/jpg\image_00025.jpg,77
C:/datasets/flower/flower/jpg\image_00026.jpg,77
C:/datasets/flower/flower/jpg\image_00027.jpg,77
C:/datasets/flower/flower/jpg\image_00028.jpg,77
C:/datasets/flower/flower/jpg\image_00029.jpg,77
C:/datasets/flower/flower/jpg\image_00030.jpg,77
C:/datasets/flower/flower/jpg\image_00031.jpg,77
C:/datasets/flower/flower/jpg\image_00032.jpg,77
C:/datasets/flower/flower/jpg\image_00033.jpg,77
C:/datasets/flower/flower/jpg\image_00034.jpg,77
C:/datasets/flower/flower/jpg\image_00035.jpg,77
C:/datasets/flower/flower/jpg\image_00036.jpg,77
C:/datasets/flower/flower/jpg\image_00037.jpg,77
C:/datasets/flower/flower/jpg\image_00038.jpg,77
C:/datasets/flower/flower/jpg\image_00039.jpg,77
C:/datasets/flower/flower/jpg\image_00040.jpg,77
C:/datasets/flower/flower/jpg\image_00041.jpg,77
C:/datasets/flower/flower/jpg\image_00042.jpg,77
C:/datasets/flower/flower/jpg\image_00043.jpg,77
C:/datasets/flower/flower/jpg\image_00044.jpg,77
C:/datasets/flower/flower/jpg\image_00045.jpg,77
C:/datasets/flower/flower/jpg\image_00046.jpg,77
C:/datasets/flower/flower/jpg\image_00047.jpg,77
C:/datasets/flower/flower/jpg\image_00048.jpg,77
C:/datasets/flower/flower/jpg\image_00049.jpg,77
C:/datasets/flower/flower/jpg\image_00050.jpg,77
C:/datasets/flower/flower/jpg\image_00051.jpg,77
C:/datasets/flower/flower/jpg\image_00052.jpg,77
C:/datasets/flower/flower/jpg\image_00053.jpg,77
C:/datasets/flower/flower/jpg\image_00054.jpg,77
C:/datasets/flower/flower/jpg\image_00055.jpg,77
C:/datasets/flower/flower/jpg\image_00056.jpg,77
C:/datasets/flower/flower/jpg\image_00057.jpg,77
C:/datasets/flower/flower/jpg\image_00058.jpg,77
C:/datasets/flower/flower/jpg\image_00059.jpg,77
C:/datasets/flower/flower/jpg\image_00060.jpg,77
C:/datasets/flower/flower/jpg\image_00061.jpg,77
C:/datasets/flower/flower/jpg\image_00062.jpg,77
C:/datasets/flower/flower/jpg\image_00063.jpg,77
C:/datasets/flower/flower/jpg\image_00064.jpg,77
C:/datasets/flower/flower/jpg\image_00065.jpg,77
C:/datasets/flower/flower/jpg\image_00066.jpg,77
C:/datasets/flower/flower/jpg\image_00067.jpg,77
C:/datasets/flower/flower/jpg\image_00068.jpg,77
C:/datasets/flower/flower/jpg\image_00069.jpg,77
C:/datasets/flower/flower/jpg\image_00070.jpg,77
C:/datasets/flower/flower/jpg\image_00071.jpg,77
C:/datasets/flower/flower/jpg\image_00072.jpg,77
C:/datasets/flower/flower/jpg\image_00073.jpg,77
C:/datasets/flower/flower/jpg\image_00074.jpg,77
C:/datasets/flower/flower/jpg\image_00075.jpg,77
C:/datasets/flower/flower/jpg\image_00076.jpg,77
C:/datasets/flower/flower/jpg\image_00077.jpg,77
C:/datasets/flower/flower/jpg\image_00078.jpg,77
C:/datasets/flower/flower/jpg\image_00079.jpg,77
C:/datasets/flower/flower/jpg\image_00080.jpg,77
C:/datasets/flower/flower/jpg\image_00081.jpg,77
C:/datasets/flower/flower/jpg\image_00082.jpg,77
C:/datasets/flower/flower/jpg\image_00083.jpg,77
C:/datasets/flower/flower/jpg\image_00084.jpg,77
C:/datasets/flower/flower/jpg\image_00085.jpg,77
C:/datasets/flower/flower/jpg\image_00086.jpg,77
C:/datasets/flower/flower/jpg\image_00087.jpg,77
C:/datasets/flower/flower/jpg\image_00088.jpg,77
C:/datasets/flower/flower/jpg\image_00089.jpg,77
C:/datasets/flower/flower/jpg\image_00090.jpg,77
